Type,Indicator,Souce
domain,admin.thetruthspy.com,original
domain,ambientrecord.thetruthspy.com,original
domain,android.thetruthspy.com,original
domain,apk.thetruthspy.com,original
domain,app.thetruthspy.com,original
domain,apps.thetruthspy.com,original
domain,backend.thetruthspy.com,original
domain,cp.thetruthspy.com,original
domain,d.thetruthspy.com,original
domain,download.thetruthspy.com,original
domain,droid.thetruthspy.com,original
domain,email.thetruthspy.com,original
domain,forum.thetruthspy.com,original
domain,ftp.thetruthspy.com,original
domain,imap.thetruthspy.com,original
domain,ios.thetruthspy.com,original
domain,iphone.thetruthspy.com,original
domain,mail.thetruthspy.com,original
domain,media-sync-a.thetruthspy.com,original
domain,media-sync-a810.thetruthspy.com,original
domain,media-sync-a815.thetruthspy.com,original
domain,media-sync-a830.thetruthspy.com,original
domain,media-sync-a835.thetruthspy.com,original
domain,media.thetruthspy.com,original
domain,mobiletracker.thetruthspy.com,original
domain,my.thetruthspy.com,original
domain,mydev.thetruthspy.com,original
domain,protocol-a.thetruthspy.com,original
domain,protocol-a720.thetruthspy.com,original
domain,protocol-a721.thetruthspy.com,original
domain,protocol-a722.thetruthspy.com,original
domain,protocol-a723.thetruthspy.com,original
domain,protocol-a724.thetruthspy.com,original
domain,protocol-a725.thetruthspy.com,original
domain,protocol-a726.thetruthspy.com,original
domain,protocol-a727.thetruthspy.com,original
domain,protocol-a728.thetruthspy.com,original
domain,protocol-a729.thetruthspy.com,original
domain,protocol-a730.thetruthspy.com,original
domain,protocol-a731.thetruthspy.com,original
domain,protocol-a732.thetruthspy.com,original
domain,protocol-a733.thetruthspy.com,original
domain,protocol-a734.thetruthspy.com,original
domain,protocol-a735.thetruthspy.com,original
domain,protocol-a736.thetruthspy.com,original
domain,protocol-a737.thetruthspy.com,original
domain,protocol-a738.thetruthspy.com,original
domain,protocol-a739.thetruthspy.com,original
domain,protocol-a740.thetruthspy.com,original
domain,protocol-a741.thetruthspy.com,original
domain,protocol-a742.thetruthspy.com,original
domain,protocol-a743.thetruthspy.com,original
domain,protocol-a744.thetruthspy.com,original
domain,protocol-a745.thetruthspy.com,original
domain,protocol-a746.thetruthspy.com,original
domain,protocol-a747.thetruthspy.com,original
domain,protocol-a748.thetruthspy.com,original
domain,protocol-a749.thetruthspy.com,original
domain,protocol-a810.thetruthspy.com,original
domain,protocol-a815.thetruthspy.com,original
domain,protocol-a830.thetruthspy.com,original
domain,protocol-a835.thetruthspy.com,original
domain,protocol-a895.thetruthspy.com,original
domain,protocol-a910.thetruthspy.com,original
domain,protocol-a915.thetruthspy.com,original
domain,protocol-a930.thetruthspy.com,original
domain,protocol-a935.thetruthspy.com,original
domain,protocol.thetruthspy.com,original
domain,protocoldev.thetruthspy.com,original
domain,shop.thetruthspy.com,original
domain,smtp.thetruthspy.com,original
domain,support.thetruthspy.com,original
domain,thetruthspy.com,original
domain,www.thetruthspy.com,original
domain,app.appspy.net,original
domain,appspy.net,original
domain,www.appspy.net,original
domain,autodiscover.catwatchful.com,original
domain,catwatchful.com,original
domain,cp.catwatchful.com,original
domain,cpanel.catwatchful.com,original
domain,cpcalendars.catwatchful.com,original
domain,cpcontacts.catwatchful.com,original
domain,mail.catwatchful.com,original
domain,webdisk.catwatchful.com,original
domain,webmail.catwatchful.com,original
domain,www.catwatchful.com,original
domain,www.cp.catwatchful.com,original
domain,account.logger.mobi,original
domain,api-beta.logger.mobi,original
domain,beta-api.logger.mobi,original
domain,beta.logger.mobi,original
domain,dev.logger.mobi,original
domain,link.logger.mobi,original
domain,logger.mobi,original
domain,myservices.logger.mobi,original
domain,sandbox97.logger.mobi,original
domain,www.logger.mobi,original
domain,freeandroidspy.com,original
domain,mx.freeandroidspy.com,original
domain,my.freeandroidspy.com,original
domain,server.freeandroidspy.com,original
domain,www.freeandroidspy.com,original
domain,www.my.freeandroidspy.com,original
domain,admin.guestspy.com,original
